                               S.R.I.
                    1e année d'école d'ingénieurs
                              2022 - 23
                           Version V1
EVALUATION :    ELUMC5A2 - EPS



              Nom                         Prénom                Notes/20
   22212673                                                                    13
   22213442                                                                    12
   22208344                                                                    12
   22006643                                                                    17
   22111156                                                     Validé 2022
   22200727                                                                   14.5
   22109358                                                     Validé 2022
   21910114                                                                     16
   22211169                                                                     12
   21901098                                                                   13.5
   21806226                                                                     13
   22001175                                                                   17.5
   22211358                                                                     16
   22211192                                                                   11.5
   22209750                                                                   11.5
   21907935                                                                     15
   22100778                                                     Validé 2022
   21801463                                                                    12
   22212378                                                                   8.5
   22012163                                                                    13
   22000315                                                                 15.75
   22002471                                                                  13.5
   22000875                                                     ABI
   22209443                                                                    8.5
   22114414                                                                    8.5
   22014650                                                     Validé 2022
   22003028                                                                14
   22007756                                                             15.75
   22003774                                                             18.75
   21915191                                                     DISPENSE
   22213821
   22211173                                                                    16
   22002953                                                                    10
   22005564                                                                    13
   22211207                                                                    14
   22110544                                                     Validé 2022
   22209754                                                                15.25
   22203027                                                                   12
   22109445                                                     Validé 2022
   22005789                                                                16.75

                                               MOYENNE :                   13.540
                                                        Min :                 8.5
                                                       Max :                18.75
                                                 Ecart-type :               2.643
                             Notes inférieures à la moyenne :                   3
                                                MEDIANE:                   13.500

