                                 S.R.I.
                      1e année d'école d'ingénieurs
                                2022 - 23
                             Version V1
EVALUATION :        ELUMC5A3 - SHS - CC1 - E. BABOURAM - 07/10/2022



              Nom                           Prénom                Notes/20
   22212673                                                                     18
   22213442                                                                     15
   22208344                                                                     17
   22006643                                                                     18
   22111156                                                       Validé 2022
   22200727                                                                     17
   22109358                                                       Validé 2022
   21910114                                                                     18
   22211169                                                                     18
   21901098                                                                     15
   21806226                                                                     15
   22001175                                                                     17
   22211358                                                                     18
   22211192                                                                     13
   22209750                                                                      5
   21907935                                                                     18
   22100778                                                       Validé 2022
   21801463                                                                     14
   22212378                                                                     14
   22012163                                                                     18
   22000315                                                                     12
   22002471                                                                     18
   22000875                                                       ABI
   22209443                                                                     13
   22114414                                                                     18
   22014650                                                       Validé 2022
   22003028                                                                     17
   22007756                                                                     18
   22003774                                                                     18
   21915191                                                                     15
   22213821                                                       ABJ
   22211173                                                                     16
   22002953                                                                     18
   22005564                                                                     17
   22211207                                                                     17
   22110544                                                       Validé 2022
   22209754                                                                     18
   22203027                                                                     16
   22109445                                                       Validé 2022
   22005789                                                                     16

                                                 MOYENNE :                   16.094
                                                          Min :                   5
                                                         Max :                   18
                                                   Ecart-type :               2.692
                               Notes inférieures à la moyenne :                   1
                                                  MEDIANE:                   17.000

