                           S.R.I.
                1e année d'école d'ingénieurs
                          2022 - 23
                         Version V1
EVALUATION :          ELUMC5B3 - Physique - Mécanique - T.
MARSAN - 08/11/2022

                Nom            Prénom                Notes/20
     22212673                                                       12
     22213442                                                       11
     22208344                                                     18.5
     22006643                                                       10
     22111156                                                    10.25
     22200727                                                     10.5
     22109358                                                     5.75
     21910114                                                       15
     22211169                                                     13.5
     21901098                                                     9.25
     21806226                                                       18
     22001175                                                     12.5
     22211358                                                     15.5
     22211192                                                       13
     22209750                                                     15.5
     21907935                                                    11.25
     22100778                                                      7.5
     21801463                                                       14
     22212378                                                       20
     22012163                                                     15.5
     22000315                                                        8
     22002471                                                       19
     22000875                                        ABI
     22209443                                                       11
     22114414                                                       19
     22014650                                                      8.5
     22003028                                                    11.25
     22007756                                                        7
     22003774                                                        5
     21915191                                        ABI
     22213821                                        ABJ
     22211173                                                        1
     22002953                                                        9
     22005564                                                       15
     22211207                                                     11.5
     22110544                                                       16
     22209754                                                    13.25
     22203027                                                       18
     22109445                                                        3
     22005789                                                        8

                                    MOYENNE :                   11.946
                                             Min :                   1
                                            Max :                   20
                                      Ecart-type :               4.609
                  Notes inférieures à la moyenne :                  11
                                     MEDIANE:                   11.500

