                                   S.R.I.
                        1e année d'école d'ingénieurs
                                  2022 - 23
                               Version V1
EVALUATION :         ELURO5C1 - Modélisation et commande de systèmes 1 -
AUTOMATIQUE - TP

               Nom                            Prénom                Notes/20
    22212673                                                                      18
    22213442                                                                      13
    22208344                                                                      16
    22006643                                                        ABI
    22111156                                                        Validé 2022
    22200727                                                                      14
    22109358                                                        Validé 2022
    21910114                                                                      15
    22211169                                                                      14
    21901098                                                                      15
    21806226                                                                      16
    22001175                                                                      16
    22211358                                                                      15
    22211192                                                                      13
    22209750                                                                      13
    21907935                                                                      15
    22100778                                                        Validé 2022
    21801463                                                                      12
    22212378                                                                      13
    22012163                                                                      18
    22000315                                                                      16
    22002471                                                                      15
    22000875                                                        ABI
    22209443                                                                      19
    22114414                                                                      17
    22014650                                                                      18
    22003028                                                                      16
    22007756                                                                      16
    22003774                                                        ABI
    21915191                                                        ABI
    22213821                                                        ABJ
    22211173                                                                      12
    22002953                                                                      13
    22005564                                                                      13
    22211207                                                                      15
    22110544                                                        Validé 2022
    22209754                                                                      16
    22203027                                                                      19
    22109445                                                        Validé 2022
    22005789                                                                      16

                                                   MOYENNE :                   15.233
                                                            Min :                  12
                                                           Max :                   19
                                                     Ecart-type :               1.977
                                 Notes inférieures à la moyenne :                   0
                                                    MEDIANE:                   15.000

